时间,事件,交路id,公里标,距离,信号,信号机,信号类型,速度,限速,工况,管压,缸压,转速/电流,均缸1,均缸2,其他
2023-06-04 17:29:01,LKJ开始,5,,,,,,,,,,,,,,
2023-06-04 17:29:01,定量记录,5,0,800,红黄,,,0,69,零,0,440,0,0,440,
2023-06-04 17:29:01,A备B主,5,0,800,,,,0,69,,0,440,0,,,
2023-06-04 17:29:01,A机、B机版本,5,,,,,,0,69,,0,440,0,,,"A机监控版本:2020-11-18,B机监控版本:2020-11-18,A机数据版本:2023-5-17,B机数据版本:2023-5-17,通信A版本:2016-11-14,通信B版本:2016-11-14,扩展通信A版本：2015-12-15,扩展通信B版本:2015-12-15,地面信息A版本:208-9-20,地面信息B版本:208-9-20,A机监控生成版本:2023-3-17,B机监控生成版本:2023-3-17,GPS功能扩展盒:2015-12-1,LKJ功能扩展盒：208-10-20"
2023-06-04 17:29:01,显示器版本,5,,,,,,0,69,,0,440,0,,,"一端显示器版本:20-11-18,二端显示器版本:0-0-0,一端显示器数据版本:23-5-17,二端显示器数据版本:0-0-0"
2023-06-04 17:29:01,模式状态,5,0,0,,,,0,69,,0,440,0,,,
2023-06-04 17:29:01,客货/本补,5,,,,,,0,69,,0,440,0,,,"货本,车次：3501"
2023-06-04 17:29:01,总重,5,,,,,,0,69,,0,440,0,,,1529
2023-06-04 17:29:01,载重,5,,,,,,0,69,,0,440,0,,,392
2023-06-04 17:29:01,辆数,5,,,,,,0,69,,0,440,0,,,50
2023-06-04 17:29:01,计长,5,,,,,,0,69,,0,440,0,,,62.400000000000006
2023-06-04 17:29:01,限速变化,5,0,800,,,,0,72,,0,440,0,,,
2023-06-04 17:29:01,记录揭示,5,,,,,,0,72,,0,440,0,,,"{'揭示数据': {'序号': 0, '揭示类型': '昼夜限速', '工务线路号': 28, '工务线路信息': '上下行', '起始时间': '05-15/08:00', '终止时间': '09-30/18:00', '起始重复里程序号': 0, '结束重复里程序号': 0, '限速': '252(客)/252(货)', '命令号': 71324, '里程范围': '188.800Km--190.500Km'}}"
2023-06-04 17:29:01,记录揭示,5,,,,,,0,72,,0,440,0,,,"{'揭示数据': {'序号': 1, '揭示类型': '昼夜限速', '工务线路号': 28, '工务线路信息': '上行', '起始时间': '05-15/08:00', '终止时间': '09-30/18:00', '起始重复里程序号': 0, '结束重复里程序号': 0, '限速': '252(客)/252(货)', '命令号': 71324, '里程范围': '120.100Km--118.800Km'}}"
2023-06-04 17:29:01,记录揭示,5,,,,,,0,72,,0,440,0,,,"{'揭示数据': {'序号': 2, '揭示类型': '昼夜限速', '工务线路号': 332, '工务线路信息': '上行', '起始时间': '05-15/08:00', '终止时间': '09-30/18:00', '起始重复里程序号': 0, '结束重复里程序号': 0, '限速': '252(客)/252(货)', '命令号': 71324, '里程范围': '74.357Km--74.337Km'}}"
